condition,checkpoint,capability_overall_mean,capability_overall_sd,capability_az_mean,capability_az_sd,capability_en_mean,capability_en_sd,capability_gap_mean,capability_gap_sd,reliability_overall_mean,reliability_overall_sd,reliability_az_mean,reliability_az_sd,reliability_en_mean,reliability_en_sd,reliability_gap_mean,reliability_gap_sd
az100_en00,0450,0.6305555555555555,0.017347216662217772,0.45555555555555555,0.02545875386086577,0.8055555555555556,0.01924500897298752,0.35,0.02886751345948128,0.15,0.022047927592204915,0.10555555555555556,0.00962250448649376,0.19444444444444445,0.03469443332443555,0.08888888888888888,0.02545875386086579
az90_en10,0450,0.575,0.00833333333333336,0.37777777777777777,0.009622504486493792,0.7722222222222223,0.01924500897298752,0.39444444444444443,0.025458753860865796,0.12777777777777777,0.031549490810001524,0.12222222222222222,0.01924500897298752,0.13333333333333333,0.04409585518440984,0.011111111111111105,0.02545875386086578
az80_en20,0450,0.5805555555555556,0.012729376930432905,0.39444444444444443,0.025458753860865803,0.7666666666666667,0.0,0.3722222222222223,0.025458753860865803,0.11388888888888889,0.00481125224324688,0.10555555555555556,0.03849001794597505,0.12222222222222222,0.034694433324435545,0.016666666666666666,0.0726483157256779
az75_en25,0450,0.5888888888888889,0.009622504486493728,0.40555555555555556,0.00962250448649376,0.7722222222222223,0.009622504486493728,0.3666666666666667,3.204937810639273e-17,0.11388888888888889,0.03757708127352412,0.15555555555555556,0.02545875386086577,0.07222222222222222,0.05091750772173156,-0.08333333333333333,0.028867513459481294
