condition,seeds,checkpoint,abstention_accuracy_mean,abstention_accuracy_sd,en_abstention_accuracy_mean,en_abstention_accuracy_sd,az_abstention_accuracy_mean,az_abstention_accuracy_sd,abstention_accuracy_gap_mean,abstention_accuracy_gap_sd
az100_en00,3,0450,0.15555555555555556,0.01734721666221777,0.2,0.03333333333333334,0.11111111111111112,0.00962250448649376,0.08888888888888889,0.03469443332443555
az75_en25,3,0450,0.11388888888888889,0.03757708127352412,0.07222222222222222,0.05091750772173156,0.15555555555555556,0.02545875386086577,-0.08333333333333333,0.028867513459481294
az80_en20,3,0450,0.11666666666666667,0.008333333333333331,0.12222222222222222,0.034694433324435545,0.1111111111111111,0.034694433324435545,0.011111111111111108,0.06735753140545633
az90_en10,3,0450,0.12777777777777777,0.031549490810001524,0.13333333333333333,0.04409585518440984,0.12222222222222222,0.01924500897298752,0.011111111111111105,0.02545875386086578
