condition,checkpoint,overall_mean,overall_sd,az_mean,az_sd,en_mean,en_sd,gap_mean,gap_sd,abstention_mean,abstention_sd,correct_abstention_mean,correct_abstention_sd
az100_en00,0450,0.6305555555555555,0.017347216662217772,0.45555555555555555,0.02545875386086577,0.8055555555555556,0.01924500897298752,0.35,0.02886751345948128,0.15555555555555556,0.05091750772173156,4.666666666666667,1.5275252316519468
az90_en10,0450,0.575,0.00833333333333336,0.37777777777777777,0.009622504486493792,0.7722222222222223,0.01924500897298752,0.39444444444444443,0.025458753860865796,0.1111111111111111,0.03849001794597505,3.3333333333333335,1.1547005383792515
az80_en20,0450,0.5805555555555556,0.012729376930432905,0.39444444444444443,0.025458753860865803,0.7666666666666667,0.0,0.3722222222222223,0.025458753860865803,0.08888888888888889,0.05091750772173156,2.6666666666666665,1.5275252316519468
az75_en25,0450,0.5888888888888889,0.009622504486493728,0.40555555555555556,0.00962250448649376,0.7722222222222223,0.009622504486493728,0.3666666666666667,3.204937810639273e-17,0.13333333333333333,0.06666666666666668,4,2.0
