condition,checkpoint,overall_mean,overall_sd,az_mean,az_sd,en_mean,en_sd,gap_mean,gap_sd,abstention_mean,abstention_sd,correct_abstention_mean,correct_abstention_sd
az100_en00,0090,0.6027777777777777,0.02097176232019651,0.39444444444444443,0.041943524640393075,0.8111111111111111,0.009622504486493728,0.4166666666666667,0.04409585518440985,0.13333333333333333,0.06666666666666668,4,2.0
az100_en00,0180,0.6222222222222222,0.012729376930432905,0.4388888888888889,0.03469443332443554,0.8055555555555556,0.01924500897298752,0.36666666666666664,0.04999999999999999,0.12222222222222222,0.03849001794597504,3.6666666666666665,1.1547005383792515
az100_en00,0270,0.6222222222222222,0.04276334532872405,0.4444444444444444,0.08221471437193748,0.8,0.016666666666666663,0.35555555555555557,0.0822147143719375,0.12222222222222222,0.05091750772173155,3.6666666666666665,1.5275252316519468
az100_en00,0360,0.625,0.03004626062886658,0.4388888888888889,0.02545875386086577,0.8111111111111111,0.03849001794597504,0.37222222222222223,0.02545875386086577,0.11111111111111112,0.01924500897298752,3.3333333333333335,0.5773502691896257
az100_en00,0450,0.6305555555555555,0.017347216662217772,0.45555555555555555,0.02545875386086577,0.8055555555555556,0.01924500897298752,0.35,0.02886751345948128,0.15555555555555556,0.05091750772173156,4.666666666666667,1.5275252316519468
az90_en10,0090,0.5777777777777777,0.026787918780535953,0.38333333333333336,0.033333333333333354,0.7722222222222223,0.025458753860865796,0.3888888888888889,0.025458753860865827,0.08888888888888889,0.01924500897298753,2.6666666666666665,0.5773502691896257
az90_en10,0180,0.6055555555555555,0.041943524640393075,0.4,0.060092521257733164,0.8111111111111111,0.025458753860865796,0.4111111111111111,0.03849001794597503,0.05555555555555555,0.019245008972987525,1.6666666666666667,0.5773502691896257
az90_en10,0270,0.5805555555555556,0.02926570486903534,0.3888888888888889,0.03469443332443557,0.7722222222222223,0.025458753860865796,0.38333333333333336,0.016666666666666663,0.12222222222222222,0.05091750772173155,3.6666666666666665,1.5275252316519468
az90_en10,0360,0.6,0.016666666666666663,0.4166666666666667,0.02886751345948128,0.7833333333333333,0.016666666666666663,0.3666666666666667,0.0333333333333333,0.07777777777777778,0.03849001794597506,2.3333333333333335,1.1547005383792515
az90_en10,0450,0.575,0.00833333333333336,0.37777777777777777,0.009622504486493792,0.7722222222222223,0.01924500897298752,0.39444444444444443,0.025458753860865796,0.1111111111111111,0.03849001794597505,3.3333333333333335,1.1547005383792515
az80_en20,0090,0.5805555555555556,0.012729376930432905,0.38333333333333336,0.01666666666666669,0.7777777777777778,0.009622504486493728,0.39444444444444443,0.009622504486493792,0.03333333333333333,0.0,1,0.0
az80_en20,0180,0.5916666666666667,0.022047927592204947,0.3888888888888889,0.05357583756107199,0.7944444444444444,0.01924500897298752,0.40555555555555556,0.06735753140545635,0.07777777777777778,0.01924500897298753,2.3333333333333335,0.5773502691896257
az80_en20,0270,0.5972222222222222,0.017347216662217772,0.4166666666666667,0.02886751345948128,0.7777777777777778,0.009622504486493728,0.3611111111111111,0.02545875386086578,0.06666666666666667,0.03333333333333334,2,1.0
az80_en20,0360,0.5944444444444444,0.012729376930432844,0.4277777777777778,0.00962250448649376,0.7611111111111111,0.01924500897298752,0.3333333333333333,0.016666666666666663,0.07777777777777778,0.01924500897298753,2.3333333333333335,0.5773502691896257
az80_en20,0450,0.5805555555555556,0.012729376930432905,0.39444444444444443,0.025458753860865803,0.7666666666666667,0.0,0.3722222222222223,0.025458753860865803,0.08888888888888889,0.05091750772173156,2.6666666666666665,1.5275252316519468
az75_en25,0090,0.5916666666666667,0.008333333333333304,0.3888888888888889,0.00962250448649376,0.7944444444444444,0.01924500897298752,0.4055555555555555,0.02545875386086577,0.07777777777777778,0.05091750772173156,2.3333333333333335,1.5275252316519468
az75_en25,0180,0.5888888888888889,0.012729376930432905,0.3888888888888889,0.03849001794597508,0.7888888888888889,0.025458753860865747,0.4,0.06009252125773314,0.05555555555555556,0.05091750772173156,1.6666666666666667,1.5275252316519468
az75_en25,0270,0.5916666666666667,0.022047927592204947,0.41111111111111115,0.0481125224324688,0.7722222222222223,0.009622504486493728,0.3611111111111111,0.05357583756107194,0.07777777777777778,0.01924500897298753,2.3333333333333335,0.5773502691896257
az75_en25,0360,0.5777777777777777,0.03849001794597504,0.3888888888888889,0.07876359377087683,0.7666666666666667,0.016666666666666663,0.37777777777777777,0.08388704928078615,0.1,0.03333333333333333,3,1.0
az75_en25,0450,0.5888888888888889,0.009622504486493728,0.40555555555555556,0.00962250448649376,0.7722222222222223,0.009622504486493728,0.3666666666666667,3.204937810639273e-17,0.13333333333333333,0.06666666666666668,4,2.0
